Styles,Yeast,ABV_Min,ABV_Max,IBU_Min,IBU_Max,SRM_Min,SRM_Max,OG_Min,OG_Max,FG_Min,FG_Max
Belgian Golden Strong Ale,Ale,7.5,10.5,22,35,3,6,1.07,1.095,1.005,1.016
Trappist Single,Ale,4.8,6,25,45,3,5,1.044,1.054,1.004,1.01
Belgian Dubbel,Ale,6,7.6,15,25,10,17,1.062,1.075,1.008,1.018
Belgian Tripel,Ale,7.5,9.5,20,40,4.5,7,1.075,1.085,1.008,1.014
Belgian Dark Strong Ale,Ale,8,12,20,35,12,22,1.075,1.11,1.01,1.024
Gose,Ale,4.2,4.8,5,12,3,4,1.036,1.056,1.006,1.01
Kentucky Common,Ale,4,5.5,15,30,11,20,1.044,1.055,1.01,1.018
Lichtenhainer,Ale,3.5,4.7,5,12,3,6,1.032,1.04,1.004,1.008
London Brown Ale,Ale,2.8,3.6,15,20,22,35,1.033,1.038,1.012,1.015
Piwo Grodziskie,Ale,2.5,3.3,20,35,3,6,1.028,1.032,1.006,1.012
Pre-Prohibition Lager,Ale,4.5,6,25,40,3,6,1.044,1.06,1.01,1.015
Pre-Prohibition Porter,Ale,4.5,6,20,30,18,30,1.046,1.06,1.01,1.016
Roggenbier,Ale,4.5,6,10,20,14,19,1.046,1.056,1.01,1.014
Sahti,Ale,7,11,7,15,4,22,1.076,1.12,1.016,1.02
